PDB_ID,Panther_Protein_Class,Panther_Code
1HVY,methyltransferase,PC00155
3RI3,dehydrogenase,PC00092
1ANI,phosphatase,PC00181
4KX3,esterase,PC00097
1BNV,dehydratase,PC00091
1PME,non-receptor serine/threonine protein kinase,PC00167
5MQT,nucleotide kinase,PC00172
1O92,nucleotidyltransferase,PC00174
2ANW,serine protease,PC00203
3TVX,phosphodiesterase,PC00185
6V0X,"chromatin/chromatin-binding, or -regulatory protein",PC00077
1AN5,methyltransferase,PC00155
1Y6B,transmembrane signal receptor,PC00197
2ETK,non-receptor serine/threonine protein kinase,PC00167
1GI4,serine protease,PC00203
7NQM,oxygenase,PC00177
2QWX,oxidoreductase,PC00176
4ZTH,non-receptor serine/threonine protein kinase,PC00167
1O58,lyase,PC00144
1QUL,ATP-binding cassette (ABC) transporter,PC00003
1EOU,dehydratase,PC00091
1P0K,isomerase,PC00135
5N66,non-receptor serine/threonine protein kinase,PC00167
4I06,hydrolase,PC00121
1W0O,hydrolase,PC00121
1KHL,phosphatase,PC00181
1RMZ,metalloprotease,PC00153
6ZG0,scaffold/adaptor protein,PC00226
4K0T,dehydratase,PC00091
1GI5,serine protease,PC00203
1RA3,reductase,PC00198
1KYV,transferase,PC00220
1E0S,G-protein,PC00020
1KVM,hydrolase,PC00121
3SI2,transferase,PC00220
1GI7,serine protease,PC00203
3PB7,transferase,PC00220
6VZK,non-receptor serine/threonine protein kinase,PC00167
1O32,serine protease,PC00203
3MIY,non-receptor tyrosine protein kinase,PC00168
6BCC,dehydratase,PC00091
1WBH,aldolase,PC00044
5DT0,non-receptor serine/threonine protein kinase,PC00167
6GQT,small GTPase,PC00208
6M89,kinase,PC00137
1E7V,kinase,PC00137
3M36,serine protease,PC00203
1MXO,hydrolase,PC00121
1UAM,RNA processing factor,PC00147
6FNM,transmembrane signal receptor,PC00197
1TBF,phosphodiesterase,PC00185
3DD0,dehydratase,PC00091
1C0E,protein phosphatase,PC00195
2OBF,methyltransferase,PC00155
1T46,transmembrane signal receptor,PC00197
1QFC,phosphatase,PC00181
1O36,serine protease,PC00203
2ZVA,non-receptor tyrosine protein kinase,PC00168
2C67,oxidase,PC00175
2PL0,non-receptor tyrosine protein kinase,PC00168
1T8X,aldolase,PC00044
2GO3,deacetylase,PC00087
2NPK,transporter,PC00227
2HYY,non-receptor tyrosine protein kinase,PC00168
5Z4O,DNA topoisomerase,PC00017
1K27,nucleotide kinase,PC00172
1G54,dehydratase,PC00091
1W82,non-receptor serine/threonine protein kinase,PC00167
4X5I,reductase,PC00198
6BRJ,transmembrane signal receptor,PC00197
1BNT,dehydratase,PC00091
2FZZ,serine protease,PC00203
2C6L,non-receptor serine/threonine protein kinase,PC00167
5Z9E,DNA topoisomerase,PC00017
1RKD,carbohydrate kinase,PC00065
1O5C,serine protease,PC00203
1O2N,serine protease,PC00203
1O4L,non-receptor tyrosine protein kinase,PC00168
3TEG,aminoacyl-tRNA synthetase,PC00047
3NXU,oxygenase,PC00177
1R3M,endoribonuclease,PC00094
1ONZ,protein phosphatase,PC00195
2CNF,protein phosphatase,PC00195
1ZSB,dehydratase,PC00091
1KV8,decarboxylase,PC00089
2CHL,non-receptor serine/threonine protein kinase,PC00167
1YXX,non-receptor serine/threonine protein kinase,PC00167
1XBO,protein phosphatase,PC00195
3CAJ,dehydratase,PC00091
1YCM,metalloprotease,PC00153
2BY6,serine protease,PC00203
4MMA,primary active transporter,PC00068
6YRI,dehydratase,PC00091
1MRQ,reductase,PC00198
5WHX,dehydrogenase,PC00092
6CVS,damaged DNA-binding protein,PC00086
1YXS,non-receptor serine/threonine protein kinase,PC00167
2BY8,serine protease,PC00203
2BK5,oxidase,PC00175
1BSJ,hydrolase,PC00121
2DDF,protease,PC00190
5UIH,reductase,PC00198
1KP3,ligase,PC00142
1O2Z,serine protease,PC00203
5AV2,non-receptor serine/threonine protein kinase,PC00167
2HOG,non-receptor serine/threonine protein kinase,PC00167
5MUE,transfer/carrier protein,PC00219
5PHK,histone modifying enzyme,PC00261
